timestamp,prediction,raw_data
2025-12-18 01:33:58,BENIGN,"*-23.66.33.52-0-80-6,*,0,23.66.33.52,80,6,2025-12-18 01:33:24.887801,94212.53204345703,4,0,255,0,255,0,63.75,127.5,0.0,0.0,0.0,0.0,2706.6462865298768,42.457196651449046,23553.133010864258,32979.09960295091,70867.30003356934,0.0,94212.53204345703,31404.17734781901,35518.98271132015,70867.30003356934,1998.1861114501953,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,172,0,42.457196651449046,0.0,0,255,63.75,127.5,16256.25,0,1,0,1,3,0,0,0,0.0,63.75,63.75,0.0,0,0,0,0,0,0,4,255,0,0,0,0,1,255,94212.53204345703,0.0,94212.53204345703,94212.53204345703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94212.53204345703"
2025-12-18 01:34:06,BENIGN,"*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 01:33:15.682616,50779918.19381714,52,0,10502,0,610,0,201.96153846153845,284.02409187640086,0.0,0.0,0.0,0.0,206.8140393593368,1.0240268564735777,976536.8883426372,2618763.875490109,11485164.880752563,0.0,50779918.19381714,995684.6704670027,2641142.9844077067,11485164.880752563,0.0,-1.0,-1.0,0.0,-1.0,-1.0,18,0,0,0,2192,0,1.0240268564735777,0.0,0,610,201.96153846153845,284.02409187640086,80669.68476621418,3,6,0,18,47,0,0,0,0.0,201.96153846153845,201.96153846153845,0.0,7930,13,2369,0,0,0,6,1312,0,0,0,0,18,315,9149506.86563619,20434769.27811345,50779918.19381714,5008.5,6665827.107142857,3800286.246080243,11485164.75,1128280.0,0.0,0.0,0.0,0.0,50779918.19381714"
2025-12-18 01:34:28,BENIGN,"*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 01:34:06.462534,21350625.27656555,50,0,2200,0,550,0,44.0,150.72613358982827,0.0,0.0,0.0,0.0,103.0414787156009,2.3418517889909296,427012.50553131104,1537491.5921820232,9187078.475952148,0.0,21350625.27656555,435727.04646052147,1552176.4189602006,9187078.475952148,0.0,-1.0,-1.0,0.0,-1.0,-1.0,4,0,0,0,2000,0,2.3418517889909296,0.0,0,550,44.0,150.72613358982827,22718.367346938758,1,39,0,4,11,0,0,0,0.0,44.0,44.0,0.0,0,0,0,0,0,0,8,366,0,0,0,0,4,550,5586522.881641388,10519463.7512059,21350625.27656555,6111.5,4068054.35,3213811.5834537237,9187078.5,1109197.75,0.0,0.0,0.0,0.0,21350625.27656555"
2025-12-18 01:34:28,DDoS,"*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 01:34:27.813159,73745.9659576416,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.003187709537,1474.919319152832,5900.505480472423,31346.797943115234,0.0,73745.9659576416,1505.0197134212572,5957.77240718329,31346.797943115234,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,678.003187709537,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,73745.9659576416,0.0,73745.9659576416,73745.9659576416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73745.9659576416"
2025-12-18 01:34:29,DDoS,"*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 01:34:27.887911,30992.746353149414,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.2807151154293,619.8549270629882,1640.1804086382194,10000.228881835938,0.0,30992.746353149414,632.505027615294,1654.7113010620094,10000.228881835938,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,1613.2807151154293,0.0,0,0,0.0,0.0,0.0,0,49,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,30992.746353149414,0.0,30992.746353149414,30992.746353149414,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30992.746353149414"
2025-12-18 01:34:29,DDoS,"*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 01:34:27.919905,18999.814987182617,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2631.604572661907,379.9962997436524,1027.935289812312,5000.35285949707,0.0,18999.814987182617,387.75132626903303,1037.108891872333,5000.35285949707,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,2631.604572661907,0.0,0,0,0.0,0.0,0.0,0,46,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,18999.814987182617,0.0,18999.814987182617,18999.814987182617,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,18999.814987182617"
2025-12-18 01:34:29,DDoS,"*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 01:34:27.939903,32000.303268432617,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.4851921114,640.0060653686521,2016.543963446023,11000.394821166992,0.0,32000.303268432617,653.0674136414818,2035.3033207771618,11000.394821166992,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,1562.4851921114,0.0,0,0,0.0,0.0,0.0,0,48,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,32000.303268432617,0.0,32000.303268432617,32000.303268432617,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32000.303268432617"
2025-12-18 01:34:30,DDoS,"*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 01:34:27.972904,40000.91552734375,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.971390425329,800.0183105468748,3386.931416072852,24001.121520996094,0.0,40000.91552734375,816.3452148437499,3420.0414998769847,24001.121520996094,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,1249.971390425329,0.0,0,0,0.0,0.0,0.0,0,49,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,40000.91552734375,0.0,40000.91552734375,40000.91552734375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40000.91552734375"
2025-12-18 01:34:30,DDoS,"*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 01:34:28.013904,34131.526947021484,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.9212757931796,682.6305389404296,1839.5969848835875,12130.260467529297,0.0,34131.526947021484,696.5617744290098,1855.9939045190108,12130.260467529297,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,1464.9212757931796,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,34131.526947021484,0.0,34131.526947021484,34131.526947021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34131.526947021484"
2025-12-18 01:34:31,DDoS,"*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-18 01:34:28.049166,18139.362335205078,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2756.436476433322,362.78724670410156,1868.2339536375937,13137.8173828125,0.0,18139.362335205078,370.19106806540975,1886.85312630777,13137.8173828125,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,2756.436476433322,0.0,0,0,0.0,0.0,0.0,0,49,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,18139.362335205078,0.0,18139.362335205078,18139.362335205078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18139.362335205078"
